FACEIT X Games Rocket League Invitational,Jul 14 - 16 2017,75000,8 teams,Minneapolis, United States,
DreamHack Summer 2017,Jun 17 - 18 2017,50000,26 teams,Jönköping, Sweden,
ThrowdownTV: Rocket League Challenge Season 2 - Finals,May 20 2017,8085,4 teams,Online, Australia,
ESL AU & NZ Championship: 2017 Season 1 Finals,May 6 - 7 2017,7500,4 teams,Sydney, Australia,
ThrowdownTV: Rocket League Challenge Season 2,Apr 9 - 23 2017,1617,8 teams,Online, Oceania,
ThrowdownTV: Rocket League Challenge Season 1 - Finals,Feb 26 2017,9000,4 teams,Sydney, Australia,
Rocet Circuit: Live Finals,Nov 26 2016,744.04,4 teams,Sydney, Australia,
ESL PAX Australia 2016 Finals,Nov 4 2016,5000,4 teams,Melbourne, Australia,
XPO Tulsa Game Festival 2016,Sep 24 - 25 2016,10000,8 teams,Tulsa, Oklahoma, United States,
RLOC Season 1,Jun 5 - Jul 16 2016,4500,8 teams,Online, Australia,
RLCS Season 1 - Europe Qualifier 2,Jun 26 - Jul 10 2016,5000,8 teams,Online, Europe,
RLCS Season 1 - North America Qualifier 2,Jun 25 - Jul 9 2016,5000,8 teams,Online, North America,
RLCS Season 1 - Europe Qualifier 1,May 1 - 22 2016,5000,8 teams,Online, Europe,
RLCS Season 1 - North America Qualifier 1,Apr 30 - May 21 2016,5000,8 teams,Online, North America,
RLC Pro League Season 1,Mar 6 2016,5333,8 teams,Online, World,
Major League Gaming Pro League - Season 1,Oct 10 2015,2500,8 teams,Online, World,
