gameId,name,start_date,end_date,city,country,region,total_prize
,Overwatch Contenders 2018 Season 3 Trials: Korea,2018-10-23,2018-11-09,Online,South Korea,Asia,15008.00
,Argentina Gaming Show Argentina Game Show 2018,2018-10-14,2018-10-28,Buenos Aires,Argentina,Americas,1266.00
,Overwatch Contenders 2018 Season 3 Trials: Australia,2018-10-13,2018-10-28,Online,Australia/New Zealand,Australia,3696.00
,Overwatch Contenders 2018 Season 3 Trials: Europe,2018-10-13,2018-10-28,Online,Europe,Europe,15008.00
,Overwatch Contenders 2018 Season 3 Trials: Pacific,2018-10-05,2018-10-07,Online,Southeast Asia,Asia,11000.00
,Overwatch Contenders 2018 Season 3 Trials: North America,2018-10-06,2018-10-21,Online,Americas,Americas,15008.00
,BEAT Invitational BEAT Invitational - Season 5,2018-10-19,2018-10-21,Online,Americas,Americas,6600.00
,Grail Quest Grail Quest 2018,2018-10-19,2018-10-20,Turku,Finland,Europe,4380.00
,Overwatch Contenders 2018 Season 3 Trials: South America,2018-10-06,2018-10-20,Online,South America,Americas,3696.00
,Overwatch Contenders 2018 Season 3 Trials: China,2018-10-11,2018-10-18,Online,China,Asia,15008.00
,Open Division Open Division 2018 Season 3 - Korea,2018-09-08,2018-09-17,Seoul,South Korea,Asia,10685.00
,DreamHack DreamHack Montreal 2018,2018-09-08,2018-09-09,Montreal,Canada,Americas,10000.00
,GameXP GameXP LAN,2018-09-06,2018-09-06,Rio de Janeiro,Brazil,Americas,1917.00
,LanStory Cup LanStory Cup 2018 - Guangzhou,2018-08-31,2018-09-02,Guangzhou,China,Asia,7809.00
,Insomnia63 Overwatch Open,2018-08-24,2018-08-24,Birmingham,United Kingdom,Europe,10512.00
,Overwatch 10K Community Tournament,2018-08-20,2018-08-20,Online,Americas,Americas,10800.00
,Assembly Assembly Summer 2018,2018-08-03,2018-08-04,Helsinki,Finland,Europe,9261.00
,Overwatch PIT Championship Overwatch PIT Championship - Europe Season 3,2018-05-31,2018-06-09,Online,Europe,Europe,10000.00
,DreamHack Texas Takedown,2018-06-01,2018-06-03,Austin,USA,Americas,10000.00
,BEAT Invitational BEAT Invitational - Season 4,2018-05-28,2018-05-29,Online,Americas,Americas,6600.00
,Overwatch Contenders Trials Overwatch Contenders 2018 Season 2 Trials: Pacific,2018-05-25,2018-05-27,Online,Southeast Asia,Asia,11000.00
,Open Division Open Division 2018 Season 2 - Korea,2018-05-19,2018-05-27,Seoul,South Korea,Asia,11144.00
,OWCP Overwatch Campeonato de Portugal,2018-05-05,2018-07-07,Porto,Portugal,Europe,2343.00
,Overwatch Contenders 2018 Season 2 Trials: Korea,2018-06-17,2018-06-25,Online,South Korea,Asia,15008.00
,Overwatch Contenders 2018 Season 2 Trials: Europe,2018-06-09,2018-06-24,Online,Europe,Europe,15008.00
,ESWC Overwatch OMEN by HP Trophy with ESWC,2018-06-23,2018-06-24,Paris,France,Europe,11664.00
,Fusion Showcase Fusion Showcase - TooManyGames 2018,2018-06-23,2018-06-24,Philadelphia,USA,Americas,5000.00
,Overwatch Contenders Trials Overwatch Contenders 2018 Season 2 Trials: Australia,2018-06-09,2018-06-24,Online,Australia/New Zealand,Australia,3696.00
,Overwatch Contenders Trials Overwatch Contenders 2018 Season 2 Trials: North America,2018-06-09,2018-06-24,Online,Americas,Americas,15008.00
,Overwatch Contenders Trials Overwatch Contenders 2018 Season 2 Trials: South America,2018-06-09,2018-06-23,Online,South America,Americas,3696.00
,Overwatch Contenders Trials Overwatch Contenders 2018 Season 2 Trials: China,2018-06-12,2018-06-19,Online,China,Asia,15008.00
,Overwatch PIT Championship Overwatch PIT Championship - North America Season 3,2018-06-03,2018-06-12,Online,Americas,Americas,10000.00
,LanStory Cup LanStory Cup 2018 - Chengdu,2018-06-08,2018-06-10,Chengdu,China,Asia,7809.00
,OMEN_Christmas_Experience OMEN Christmas Experience 2017,2017-12-30,2017-12-30,Madrid,Spain,Europe,1822.00
,Overwatch Campeonato Brasileiro Overwatch Campeonato Brasileiro 2017,2017-08-17,2017-12-09,Online,Brazil,Americas,3157.00
,The Overguard The Overguard: Haste Overwatch $1k Series 5,2017-12-09,2017-12-09,Online,Americas,Americas,1020.00
,DreamHack DreamHack Winter 2017 BYOC,2017-12-01,2017-12-03,Jönköping,Sweden,Europe,1420.00
,SnasCUP SnasCUP Grand Finals Season 1,2017-12-02,2017-12-02,Barcelona,Spain,Europe,1760.00
,Sancta Domenica Reboot Infogamer 2017,2017-11-25,2017-11-25,Zagreb,Croatia,Europe,3553.00
,OWadria RUR Overwatch Reboot Infogamer 2017,2017-11-23,2017-11-23,Zagreb,Croatia,Europe,3553.00
,Overwatch Razer Series Germany Overwatch Razer Series Germany: Season 1,2017-10-06,2017-12-17,Online,Europe,Europe,1440.00
,TelenorLIGAEN Autumn 2017 Division 1,2017-11-19,2017-11-19,Online,Europe,Europe,6534.00
,Lenovo Legion Overwatch Budapest 2017,2017-11-18,2017-11-18,Budapest,Hungary,Europe,2785.00
,Fnac - Overwatch Challenge 3,2017-11-11,2017-11-11,Lisbon,Portugal,Europe,3479.00
,ASUS ROG Tournament ASUS ROG Tournament 2017 - GameXpo,2017-09-19,2017-11-05,Helsinki,Finland,Europe,7715.00
,WEGL OVERWATCH Invitational WEGL OVERWATCH Invitational - 4v4 Deathmatch,2017-11-16,2017-11-16,Busan,South Korea,Asia,7294.00
,WEGL OVERWATCH Invitational WEGL OVERWATCH Invitational - 3v3 Lockout Elimination,2017-11-16,2017-11-16,Busan,South Korea,Asia,8206.00
,GA'lloween: 2017,2017-11-11,2017-11-12,Online,Europe,Europe,1080.00
,SURGE SURGE 2017,2017-10-14,2017-10-29,Seoul,South Korea,Asia,4373.00
,Overwatch Premier Circuit,2017-09-30,2017-09-30,Italy,Italy,Europe,3260.00
,Geneva Gaming Convention 2017,2017-09-23,2017-09-24,Geneva,Switzerland,Europe,6586.00
,Kuwait National Overwatch Tournament,2017-09-21,2017-09-23,Kuwait,Kuwait,Asia,17500.00
,DreamHack Montreal 2017,2017-09-09,2017-09-10,Montreal,Canada,Americas,12500.00
,DreamHack Denver 2017,2017-10-20,2017-10-22,Denver,USA,Americas,2000.00
