Mid-Season Invitational 2018,3,133625.70,Fnatic
Mid-Season Invitational 2018,4,133625.70,Flash Wolves
EU LCS Spring 2018,1,98300,Fnatic
EU LCS Spring 2018,2,61437,G2 Esports
EU LCS Spring 2018,3,36862,Splyce
EU LCS Spring 2018,4,24575,Team Vitality
NA LCS Summer 2017,1,100000,Team SoloMid
NA LCS Summer 2017,2,50000,Immortals
NA LCS Summer 2017,3,30000,Counter Logic Gaming
NA LCS Summer 2017,4,20000,Team Dignitas
NA LCS Spring 2018,1,100000,Team Liquid
NA LCS Spring 2018,2,50000,100 Thieves
NA LCS Spring 2018,3,30000,Echo Fox
NA LCS Spring 2018,4,20000,Clutch Gaming
EU LCS Summer 2017,1,94400,G2 Esports
EU LCS Summer 2017,2,59000,Misfits Gaming
EU LCS Summer 2017,3,35400,Fnatic
EU LCS Summer 2017,4,23600,H2K
2017 World Championship,1,1723721.63,Samsung Galaxy
2017 World Championship,2,620539.79,SK Telecom T1
2017 World Championship,3,321761.37,Royal Never Give Up
2017 World Championship,4,321761.37,Team WE
LPL Summer 2017,1,217862,EDward Gaming
LPL Summer 2017,2,116195,Royal Never Give Up
LPL Summer 2017,3,72621,Invictus Gaming
LPL Summer 2017,4,43573,Team WE
LMS Summer 2017,1,49287,Flash Wolves
LMS Summer 2017,2,19714,ahq e-Sports Club
LMS Summer 2017,3,13143,Raise Gaming
LMS Summer 2017,4,6571,J Team
Rift Rivals 2017: LCL vs TCL,1,20000,SuperMassive eSports
Rift Rivals 2017: LCL vs TCL,2,20000,Crew e-Sports Club
Rift Rivals 2017: LCL vs TCL,3,20000,1907 Fenerbahçe Esports
Rift Rivals 2017: LCL vs TCL,4,20000,Team AURORA
Rift Rivals 2017: LCL vs TCL,5,5000,Virtus.pro
Rift Rivals 2017: LCL vs TCL,6,5000,Vaevictis eSports
Rift Rivals 2017: LCL vs TCL,7,5000,Vega Squadron
Rift Rivals 2017: LCL vs TCL,8,5000,M19
Rift Rivals 2017: LLN vs CLS vs CBLOL,1,Brazilian LoL Championship  CBLOL,RED Canids
Rift Rivals 2017: LLN vs CLS vs CBLOL,2,Brazilian LoL Championship  CBLOL,Keyd Stars
Rift Rivals 2017: LLN vs CLS vs CBLOL,3,Latin America South Cup  CLS,Isurus Gaming
Rift Rivals 2017: LLN vs CLS vs CBLOL,4,Latin America South Cup  CLS,Furious Gaming
Rift Rivals 2017: LLN vs CLS vs CBLOL,5,Latin America North League LLN,Lyon Gaming
Rift Rivals 2017: LLN vs CLS vs CBLOL,6,Latin America North League LLN,Just Toys Havoks
Rift Rivals 2017: NA vs EU,1,20000,Team SoloMid
Rift Rivals 2017: NA vs EU,2,20000,Cloud9
Rift Rivals 2017: NA vs EU,3,20000,Phoenix1
Rift Rivals 2017: NA vs EU,4,5000,G2 Esports
Rift Rivals 2017: NA vs EU,5,5000,Unicorns Of Love
Rift Rivals 2017: NA vs EU,6,5000,Fnatic
LPL Spring 2017,1,217805,Team WE
LPL Spring 2017,2,116162,Royal Never Give Up
LPL Spring 2017,3,72602,EDward Gaming
LPL Spring 2017,4,43561,Oh My God
Rift Rivals 2017: GPL vs LJL vs OPL,1,LoL Japan League LJL,Rampage
Rift Rivals 2017: GPL vs LJL vs OPL,2,LoL Japan League LJL,DetonatioN FocusMe
Rift Rivals 2017: GPL vs LJL vs OPL,3,LoL Japan League LJL,Unsold Stuff Gaming
